a,b,c,d,target
0.39,2.06,1.06,2.2,0
0.25,0.9,0.39,1.15,1
-0.86,0.96,1.42,-1.38,0
0.72,-0.77,-1.17,1.19,1
0.88,-2.34,-2.38,0.54,0
-0.35,0.9,0.93,-0.24,0
0.07,1.52,0.98,1.12,1
-0.25,-0.87,-0.38,-1.12,0
-0.35,-1.49,-0.7,-1.76,0
0.64,-0.85,-1.16,0.95,1
-0.61,2.18,2.03,-0.03,0
0.73,-0.83,-1.22,1.17,1
-0.23,2.55,1.95,1.08,1
0.42,0.7,0.11,1.4,1
-1.13,0.19,1.14,-2.5,0
0.47,-2.07,-1.84,-0.21,0
-0.13,1.29,1.0,0.51,0
-0.01,1.9,1.3,1.18,1
0.64,-0.64,-1.01,1.08,1
0.78,-0.77,-1.22,1.31,1
0.81,-1.36,-1.65,1.0,1
-0.17,-0.45,-0.15,-0.68,0
-0.79,1.64,1.82,-0.78,0
-0.54,1.88,1.77,-0.06,0
-0.06,1.36,0.98,0.73,0
0.85,-1.0,-1.44,1.33,1
0.73,-0.85,-1.23,1.15,1
-0.34,-0.75,-0.21,-1.26,0
-0.26,1.58,1.31,0.39,0
0.18,-1.67,-1.29,-0.65,0
0.07,1.29,0.82,0.98,1
0.55,-1.31,-1.38,0.44,1
-0.3,1.53,1.31,0.28,0
0.98,-1.17,-1.67,1.52,1
-1.22,1.16,1.89,-2.09,0
-0.1,1.63,1.21,0.79,0
-0.53,1.35,1.39,-0.38,0
1.01,-1.52,-1.94,1.37,1
-0.89,1.38,1.73,-1.17,0
0.68,-1.02,-1.3,0.92,1
-0.38,0.81,0.9,-0.37,0
0.1,1.18,0.72,0.98,0
0.05,1.65,1.08,1.16,1
0.3,0.17,-0.16,0.81,1
-0.69,1.21,1.44,-0.83,0
-0.52,0.3,0.67,-1.02,0
0.02,1.95,1.31,1.29,1
0.99,-1.13,-1.66,1.57,1
0.85,-0.87,-1.35,1.4,1
0.6,-1.01,-1.22,0.74,1
-0.39,0.89,0.96,-0.34,0
-0.65,0.58,0.98,-1.14,0
-1.42,0.31,1.48,-3.07,0
1.0,-1.07,-1.62,1.64,1
-0.93,0.83,1.39,-1.61,0
0.26,0.93,0.4,1.19,1
0.34,-0.48,-0.63,0.47,1
0.14,0.89,0.49,0.88,1
-0.57,-0.61,0.09,-1.71,0
0.63,-2.17,-2.05,0.09,0
-0.4,1.14,1.14,-0.2,0
0.64,-0.9,-1.18,0.91,1
0.84,-0.88,-1.34,1.38,1
0.59,-1.39,-1.48,0.49,1
0.71,-2.34,-2.24,0.16,0
0.33,0.69,0.18,1.2,1
0.66,-0.86,-1.18,0.99,1
-1.32,0.7,1.66,-2.61,0
-0.72,0.09,0.7,-1.6,0
-0.01,-1.09,-0.74,-0.7,0
0.84,-1.1,-1.5,1.25,1
0.11,1.4,0.86,1.13,1
0.55,-1.31,-1.38,0.43,1
0.16,0.81,0.41,0.87,1
-1.17,0.77,1.56,-2.21,0
-0.51,-0.75,-0.06,-1.64,0
0.04,1.49,0.99,1.03,1
0.54,-1.14,-1.26,0.54,1
0.21,1.12,0.58,1.2,1
0.05,1.68,1.1,1.18,1
-1.91,0.42,1.99,-4.13,0
-0.24,1.34,1.12,0.3,0
-0.59,-0.45,0.22,-1.65,0
0.84,-1.26,-1.61,1.14,1
0.23,-1.68,-1.35,-0.53,0
-0.67,0.09,0.66,-1.49,0
-0.66,0.74,1.09,-1.05,0
0.9,-2.79,-2.71,0.32,0
-0.93,0.33,1.06,-1.95,0
0.45,-0.92,-1.03,0.45,1
0.32,0.14,-0.19,0.82,1
0.82,-1.08,-1.47,1.21,1
0.29,-1.63,-1.37,-0.35,0
0.27,-1.53,-1.28,-0.35,0
0.23,0.86,0.38,1.08,1
-0.48,0.82,0.99,-0.59,0
0.35,0.55,0.07,1.15,1
-0.0,1.41,0.97,0.88,0
0.11,1.1,0.65,0.95,1
0.77,-0.89,-1.3,1.22,1
0.65,-0.78,-1.11,1.0,1
0.82,-1.14,-1.51,1.17,1
0.37,0.26,-0.15,1.01,1
-0.18,-0.14,0.06,-0.51,0
-0.13,-1.58,-0.96,-1.3,0
0.31,0.57,0.11,1.09,1
-0.79,-0.06,0.66,-1.86,0
-0.02,-1.15,-0.77,-0.76,0
-1.13,0.93,1.64,-2.03,0
0.05,1.5,0.98,1.07,1
0.15,-1.65,-1.26,-0.7,0
-1.49,0.64,1.76,-3.03,0
-1.49,0.85,1.91,-2.9,0
-0.23,0.58,0.6,-0.16,0
0.91,-1.15,-1.6,1.36,1
0.57,-0.47,-0.83,1.02,1
0.85,-0.66,-1.21,1.54,1
0.74,-1.12,-1.42,0.99,1
0.26,0.64,0.21,0.99,1
-0.26,-1.07,-0.49,-1.28,0
0.38,-1.19,-1.15,0.11,0
1.05,-1.6,-2.03,1.41,1
-0.66,0.09,0.65,-1.46,0
0.32,-1.68,-1.44,-0.31,0
-0.78,0.81,1.25,-1.28,0
-0.77,0.18,0.8,-1.66,0
-0.72,0.3,0.85,-1.47,0
0.13,1.67,1.03,1.35,1
0.51,-0.98,-1.12,0.55,1
0.31,-0.92,-0.9,0.13,1
0.57,-0.75,-1.02,0.85,1
-0.84,0.14,0.84,-1.84,0
1.02,-1.49,-1.93,1.41,1
-0.06,-0.99,-0.62,-0.76,0
0.58,-1.19,-1.33,0.59,1
0.28,0.22,-0.1,0.79,1
-0.52,-0.3,0.26,-1.38,0
0.5,0.63,-0.01,1.55,1
-0.74,-0.55,0.28,-2.05,0
0.66,-2.23,-2.11,0.1,0
-0.79,0.21,0.85,-1.7,0
0.42,-0.25,-0.55,0.82,1
-0.82,-0.35,0.49,-2.11,0
0.09,-2.1,-1.52,-1.12,0
-1.02,1.17,1.71,-1.62,0
-0.27,-0.99,-0.44,-1.25,0
0.72,-0.97,-1.31,1.06,1
0.53,-0.53,-0.84,0.9,1
-0.38,2.73,2.2,0.85,1
-0.97,0.71,1.35,-1.79,0
0.44,-0.38,-0.65,0.78,1
-0.05,0.38,0.3,0.13,0
-1.19,0.79,1.6,-2.24,0
-0.84,0.29,0.95,-1.76,0
0.67,-1.11,-1.35,0.84,1
0.17,1.03,0.55,1.04,1
-0.67,-1.07,-0.13,-2.22,0
-0.72,1.16,1.44,-0.94,0
0.24,0.42,0.07,0.82,1
0.68,-1.14,-1.39,0.85,1
0.01,1.17,0.79,0.77,0
0.77,-1.06,-1.41,1.1,1
0.67,-0.74,-1.1,1.07,1
0.34,0.03,-0.28,0.8,1
0.76,-1.2,-1.5,1.0,1
-1.21,0.59,1.48,-2.43,0
0.17,-1.23,-0.99,-0.38,0
-0.28,2.34,1.85,0.83,1
0.61,-1.02,-1.24,0.77,1
-0.27,1.51,1.28,0.32,0
-0.32,2.0,1.65,0.53,0
0.2,0.73,0.32,0.93,1
-1.32,0.68,1.64,-2.61,0
-0.47,0.18,0.54,-0.97,0
-0.11,1.94,1.43,0.97,1
-0.75,0.46,0.98,-1.43,0
-1.0,0.49,1.22,-1.99,0
-1.07,0.07,1.0,-2.42,0
